1	【数码宝贝】体力领取时间段，获得体力|下一个	1	9:00:00,11:00:00,60|12:00:00,14:00:00,60|18:00:00,20:00:00,60|21:00:00,24:00:00,60
2	【数码宝贝】领取体力，补签所需消耗的钻石数量，第1次，第2次，第3次，第4次	2	20,20,20,20
3	【数码宝贝】签到中每月签到对应的活动模板ID（program_reward）：月份,第1天奖励ID-第31天奖励ID|下一个	3	1,1001-1031|2,1032-1062|3,1063-1093|4,1094-1124|5,1125-1155|6,1156-1186|7,1187-1217|8,1218-1248|9,1249-1279|10,1280-1310|11,1311-1341|12,1342-1372
4	【数码宝贝】活动模板program_reward中主键最大数量	4	10000
5	【数码宝贝】每日充值送礼中每七天对应的活动模板ID（program_reward）：轮次,第1个奖励ID-第6个奖励ID|下一个	5	1,201-206,105102|2,207-212,101304|3,213-218,101404|4,219-224,101504|5,225-230,101604|6,231-236,101904|7,237-242,101804|8,243-248,101704|9,249-254,103104|10,255-260,100404|11,261-266,102204|12,267-272,104004|13,273-278,105304|14,279-284,100604|15,285-290,102604|16,291-296,102704|17,297-302,102904|18,303-308,102504|19,309-314,102404|20,315-320,104104|21,321-326,102004|22,327-332,102804|23,333-338,103604|24,339-344,103504|25,345-350,102304|26,351-356,103704|27,357-362,103904|28,363-368,104604|29,369-374,103204|30,375-380,103804|31,381-386,104704|32,387-392,104404|33,393-398,104504|34,399-404,104204|35,405-410,104304|36,411-416,104804|37,417-422,104904|38,423-428,105004|39,429-434,105204|40,435-440,103304|41,441-446,103004|42,447-452,105404
6	【数码宝贝】节日副本掉落物品开始时间，结束时间，掉落scene_reward主键ID	6	2017-01-27 00:00:00,2017-02-03 23:59:00,1
7	【数码宝贝】点金手每次购买消耗的钻石数量	7	10,10,20,20,20,20,20,30,30,30,30,30,40,40,40,40,40,50,50,50,50,50,60,60,60,60,60,70,70,70,70,70,80,80,80,80,80,90,90,90,90,90,100,100,100,100,100,110,110,110,110,110,120,120,120,120,120,130,130,130,130,130,140,140,140,140,140,150,150,150,150,150,160,160,160,160,160,170,170,170,170,170,180,180,180,180,180,190,190,190,190,190,200,200,200,200,200,210,210,210,210,210,220,220,220,220,220,230,230,230,230,230,240,240,240,240,240,250,250,250,250,250,260,260,260,260,260,270,270,270,270,270,280,280,280,280,280,290,290,290,290,290,300,300,300,300,300,310,310,310,310,310,320,320,320,320,320,330,330,330,330
8	【数码宝贝】点金手每次暴击时的随机倍数，权重|下一个	8	1000,2|0,3|0,5|0,10!1000,2|0,3|0,5|0,10!1000,2|0,3|0,5|0,10!750,2|1000,3|0,5|0,10!717,2|1000,3|0,5|0,10!683,2|1000,3|0,5|0,10!650,2|1000,3|0,5|0,10!567,2|933,3|1000,5|0,10!567,2|933,3|1000,5|0,10!567,2|933,3|1000,5|0,10!567,2|933,3|1000,5|0,10!560,2|927,3|993,5|1000,10!560,2|927,3|993,5|1000,10!560,2|927,3|993,5|1000,10!526,2|907,3|990,5|1000,10!493,2|887,3|986,5|1000,10!459,2|868,3|982,5|1000,10!425,2|848,3|979,5|1000,10!392,2|828,3|975,5|1000,10
9	【数码宝贝】战力排行战力奖励对应的活动模板ID（program_reward）	9	148,149,150,151,152,153,154
10	【数码宝贝】购买体力需要的钻石数量，第1次-第17次	10	50,50,100,100,100,100,200,200,200,400,400,800,800,1000,1200,1500,2000
11	【数码宝贝】大耳有福最大可获得金币，下一次	11	288,688,1888,4888,9888,18888,38888,78888
12	【数码宝贝】大耳有福vip等级对应次数，vip等级，可以参加次数	12	0,5|5,6|7,7|10,8
13	【数码宝贝】大耳有福推送信息条数	13	11
14	【数码宝贝】限时宝箱拥有特殊光效的道具ID	14	223,341
15	【数码宝贝】点金双倍活动期间每天生效次数	15	10
16	【数码宝贝】累计签到下一档位生成所加天数	16	10
