1	亚古兽	0	13	1407,1265,1408,1409	2008	135
2	杜宾犬兽	0	15	1266,1410,1411	2009	74
3	黑暴龙兽	0	16	1267,1412,1413	2010	86
4	大地暴龙兽	0	17	1268,1414,1415	2011	49
5	黑迪路兽	0	20	1269,1416,1417	2012	12
6	巫师兽	0	25	1272,1422,1423	2015	41
7	飞虫兽	0	26	1273,1424,1425	2016	98
8	穿山兽	0	28	1274,1426,1427	2017	24
9	墨鱼兽	0	29	1275,1428,1429	2018	12
10	迪路兽	0	31	1276,1430,1431	2019	37
11	强袭龙兽	0	32	1277,1432,1433	2020	49
12	灰熊兽	0	33	1278,1434,1435	2021	61
13	九尾狐兽	0	34	1279,1436,1437	2022	121
14	巴多拉兽	0	35	1280,1438,1439	2023	121
15	亚古拉兽	0	37	1281,1440,1441	2024	74
16	杜宾犬兽	1	15	1266,1410,1411	2009	86
17	黑暴龙兽	1	16	1267,1412,1413	2010	37
18	大地暴龙兽	1	17	1268,1414,1415	2011	74
19	黑迪路兽	1	20	1269,1416,1417	2012	61
20	朽木兽	1	22	1270,1418,1419	2013	24
21	黄蜂兽	1	24	1271,1420,1421	2014	135
22	巫师兽	1	25	1272,1422,1423	2015	135
23	穿山兽	1	28	1274,1426,1427	2017	61
24	墨鱼兽	1	29	1275,1428,1429	2018	24
25	迪路兽	1	31	1276,1430,1431	2019	24
26	强袭龙兽	1	32	1277,1432,1433	2020	172
27	灰熊兽	1	33	1278,1434,1435	2021	37
28	九尾狐兽	1	34	1279,1436,1437	2022	49
29	巴多拉兽	1	35	1280,1438,1439	2023	12
30	亚古拉兽	1	37	1281,1440,1441	2024	12
31	海龙兽	1	40	1282,1442,1443	2025	49
32	蜡烛兽	2	41	1283,1444,1445	2026	61
33	螃蟹兽	2	42	1284,1446,1447	2027	12
34	蝌蚪兽	2	43	1285,1448,1449	2028	49
35	大耳兽	2	44	1450,1286,1451,1452	2029	259
36	齿轮兽	2	45	1287,1453,1454	2030	12
37	野人兽	2	46	1288,1455,1456	2031	259
38	雪亚古兽	2	47	1289,1457,1458	2032	37
39	鼻涕兽	2	48	1290,1459,1460	2033	12
40	小蜘蛛兽	2	49	1291,1461,1462	2034	12
41	巴鲁兽	2	50	1463,1292,1464,1465	2035	12
42	艾力兽	2	51	1466,1293,1467,1468	2036	148
43	蘑菇兽	2	53	1294,1469,1470	2037	111
44	花拉兽	2	54	1295,1471,1472	2038	12
45	蜡烛兽	3	41	1283,1444,1445	2026	141
46	螃蟹兽	3	42	1284,1446,1447	2027	12
47	蝌蚪兽	3	43	1285,1448,1449	2028	111
48	齿轮兽	3	45	1287,1453,1454	2030	12
49	野人兽	3	46	1288,1455,1456	2031	61
50	雪亚古兽	3	47	1289,1457,1458	2032	135
51	鼻涕兽	3	48	1290,1459,1460	2033	61
52	小蜘蛛兽	3	49	1291,1461,1462	2034	12
53	巴鲁兽	3	50	1463,1292,1464,1465	2035	24
54	艾力兽	3	51	1466,1293,1467,1468	2036	123
55	蘑菇兽	3	53	1294,1469,1470	2037	142
56	花拉兽	3	54	1295,1471,1472	2038	37
57	哥玛兽	3	55	1473,1296,1474,1475	2039	86
58	甲虫兽	3	56	1476,1297,1477,1478	2040	37
59	蜡烛兽	4	41	1283,1444,1445	2026	61
60	螃蟹兽	4	42	1284,1446,1447	2027	37
61	蝌蚪兽	4	43	1285,1448,1449	2028	37
62	齿轮兽	4	45	1287,1453,1454	2030	49
63	野人兽	4	46	1288,1455,1456	2031	12
64	雪亚古兽	4	47	1289,1457,1458	2032	74
65	鼻涕兽	4	48	1290,1459,1460	2033	154
66	小蜘蛛兽	4	49	1291,1461,1462	2034	12
67	巴鲁兽	4	50	1463,1292,1464,1465	2035	98
68	艾力兽	4	51	1466,1293,1467,1468	2036	12
69	蘑菇兽	4	53	1294,1469,1470	2037	37
70	花拉兽	4	54	1295,1471,1472	2038	148
71	哥玛兽	4	55	1473,1296,1474,1475	2039	111
72	甲虫兽	4	56	1476,1297,1477,1478	2040	154
73	蜡烛兽	5	41	1283,1444,1445	2026	12
74	螃蟹兽	5	42	1284,1446,1447	2027	98
75	蝌蚪兽	5	43	1285,1448,1449	2028	12
76	齿轮兽	5	45	1287,1453,1454	2030	172
77	野人兽	5	46	1288,1455,1456	2031	12
78	雪亚古兽	5	47	1289,1457,1458	2032	24
79	鼻涕兽	5	48	1290,1459,1460	2033	24
80	小蜘蛛兽	5	49	1291,1461,1462	2034	246
81	巴鲁兽	5	50	1463,1292,1464,1465	2035	98
82	艾力兽	5	51	1466,1293,1467,1468	2036	12
83	蘑菇兽	5	53	1294,1469,1470	2037	12
84	花拉兽	5	54	1295,1471,1472	2038	172
85	哥玛兽	5	55	1473,1296,1474,1475	2039	37
86	甲虫兽	5	56	1476,1297,1477,1478	2040	61
87	古拉兽	6	2	1479,1480,1481	2062	1000
88	天使兽	6	9	1482,1483,1484	2063	1000
89	帽子猛鬼兽	6	3	1485,1486,1487	2064	1000
90	武兔兽	6	1	1488,1489,1490	2065	1000
91	恶魔兽	6	6	1491,1492,1493	2066	1000
92	石狮兽	6	7	1494,1495,1496	2067	1000
93	角龙兽	6	10	1497,1498,1499	2068	1000
94	V龙兽	6	4	1500,1501,1502	2069	1000
