1	皇家套装	0,800	1,66	33,2|34,2
2	钢铁套装	0,1400	1,115	33,4|34,4
3	超金属套装	1,173	12,4	8,4|33,4
4	贪婪套装	0,2000	1,165	33,4|34,4
5	红莲套装	0,3000	13,6	9,4|34,4
6	大天使套装	1,247	12,6	8,6|33,6
7	魔枪套装	0,2600	1,214	33,8|34,8
8	奥米加套装	1,321	12,8	8,8|33,8
9	究极战刃套装	0,3900	13,8	9,8|34,8
10	光明套装	0,3200	1,264	33,10|34,10
11	备用	-1	-1	-1
12	备用	-1	-1	-1
13	备用	-1	-1	-1
14	备用	-1	-1	-1
15	备用	-1	-1	-1
16	备用	-1	-1	-1
17	备用	-1	-1	-1
18	备用	-1	-1	-1
19	备用	-1	-1	-1
20	备用	-1	-1	-1
21	备用	-1	-1	-1
22	备用	-1	-1	-1
23	备用	-1	-1	-1
24	备用	-1	-1	-1
25	备用	-1	-1	-1
26	备用	-1	-1	-1
27	备用	-1	-1	-1
28	备用	-1	-1	-1
29	备用	-1	-1	-1
30	备用	-1	-1	-1
