1	青铜5级	2	30	0	3,2	-1	1,0	-1	1	1,-1,10000|5,-1,5	0
2	青铜4级	3	30	0	3,2	-1	2,0	-1	1	1,-1,12000|5,-1,6	0
3	青铜3级	4	30	0	3,2	-1	2,0	-1	1	1,-1,14000|5,-1,7	0
4	青铜2级	5	30	0	3,2	-1	2,0	-1	1	1,-1,16000|5,-1,8	0
5	青铜1级	6	50	40	-1	5,3	3,-1	-1	1	1,-1,18000|5,-1,9	0
6	白银5级	7	40	50	3,2	-1	4,-1	-1	2	1,-1,20000|5,-1,10	0
7	白银4级	8	40	70	3,2	-1	4,-1	-1	2	1,-1,22000|5,-1,11	0
8	白银3级	9	40	80	3,2	-1	4,-1	-1	2	1,-1,24000|5,-1,12	0
9	白银2级	10	40	100	3,2	-1	4,-1	-1	2	1,-1,26000|5,-1,13	0
10	白银1级	11	80	120	-1	5,3	5,-2	-1	2	1,-1,28000|5,-1,14	0
11	黄金5级	12	90	160	3,2	-1	6,-2	-1	3	1,-1,30000|5,-1,15	0
12	黄金4级	13	90	190	3,2	-1	6,-2	-1	3	1,-1,32000|5,-1,16	0
13	黄金3级	14	90	220	3,2	-1	6,-2	-1	3	1,-1,34000|5,-1,17	0
14	黄金2级	15	90	250	3,2	-1	6,-2	-1	3	1,-1,36000|5,-1,18	0
15	黄金1级	16	100	310	-1	5,3	10,-4	-1	3	1,-1,38000|5,-1,19	0
16	铂金5级	17	120	370	3,2	-1	12,-6	-1	4	1,-1,40000|5,-1,20	0
17	铂金4级	18	120	430	3,2	-1	12,-6	-1	4	1,-1,42000|5,-1,21	0
18	铂金3级	19	120	500	3,2	-1	12,-6	-1	4	1,-1,44000|5,-1,22	0
19	铂金2级	20	120	550	3,2	-1	12,-6	-1	4	1,-1,46000|5,-1,23	0
20	铂金1级	21	160	610	-1	5,3	12,-8	-1	4	1,-1,48000|5,-1,24	0
21	钻石5级	22	150	670	3,2	-1	15,-10	20	5	1,-1,50000|5,-1,25	640
22	钻石4级	23	150	730	3,2	-1	15,-10	21	5	1,-1,55000|5,-1,28	700
23	钻石3级	24	150	800	3,2	-1	15,-10	22	5	1,-1,60000|5,-1,30	765
24	钻石2级	25	150	850	3,2	-1	15,-10	23	5	1,-1,70000|5,-1,35	825
25	钻石1级	26	180	920	-1	5,3	15,-10	24	5	1,-1,85000|5,-1,42	885
26	大师	-1	-1	-1	-1	-1	10,-20	25	6	1,-1,100000|5,-1,50	900
