1	万佛寺	1	1	-1	2,1|11,2|12,3	1	-1	0	-1	30	-1	2,11,12
2	兰桂坊	5	1	10	1,1|3,4	4	1	30	7	30	50	1,3
3	太空馆	8	1	10	2,4|4,11|9,10|10,9	4	1	30	7	30	50	2,4,9,10
4	芬兰阁	11	1	10	3,11|5,13|6,12	4	1	15	7	30	30	3,5,6
5	湿地公园	11	1	10	4,13|6,14|22,33	4	1	5	7	30	20	4,6,22
6	星光大道	11	1	10	4,12|5,14|8,15|22,32	4	1	5	7	30	20	4,5,8,22
7	海滨花园	11	1	10	8,16|22,31	4	1	5	7	30	20	8,22
8	电脑中心	11	1	10	6,15|7,16|9,17	4	1	10	7	30	20	6,7,9
9	雀鸟花园	11	1	10	3,10|8,17|10,18|72,30	4	1	5	7	30	20	3,8,10,72
10	电影中心	8	1	10	3,9|9,18|11,5	4	1	10	7	30	20	3,9,11
11	快活谷	5	1	10	1,2|10,5|14,6	4	1	20	7	30	40	1,10,14
12	少林馆	5	1	10	1,3|13,8|14,7	4	1	30	7	30	50	1,13,14
13	凌霄阁	11	1	10	12,8|17,20|18,21	4	1	30	7	30	50	12,17,18
14	美利楼	8	1	10	11,6|12,7|16,19	4	1	20	7	30	40	11,12,16
15	宝莲禅寺	11	1	10	16,26|72,29	4	1	5	7	30	20	16,72
16	少林分馆	11	1	10	14,19|15,26|20,25	4	1	15	7	30	30	14,15,20
17	清真寺	11	1	10	13,20|19,23|20,24	4	1	20	7	30	40	13,19,20
18	铁路钟楼	11	1	10	13,21|19,22	4	1	20	7	30	40	13,19
19	黄大仙祠	11	1	10	17,23|18,22|21,28	4	1	15	7	30	30	17,18,21
20	历史博物馆	8	1	10	16,25|17,24|21,27	4	1	10	7	30	20	16,17,21
21	北帝庙	2	1	10	19,28|20,27|44,95|53,94|54,93	3	1	5	7	30	20	19,20,44,53,54
22	猛兽林	2	3	10	5,33|6,32|7,31|23,34|34,37	3	3	5	7	30	20	5,6,7,23,34
23	电堡	10	3	10	22,34|24,36|33,35	4	3	10	7	30	20	22,24,33
24	铜寨	4	3	10	23,36|25,41	4	3	20	7	30	40	23,25
25	天龙阁	9	3	10	24,41|27,42|33,40	4	3	30	7	30	50	24,27,33
